Key,Value
1686,"['Biography', 'History', 'Religion']"
1698,"['Philosophy', 'Classics', 'Religion']"
1702,"['Biography', 'Religion', 'History']"
1703,"['Philosophy', 'History', 'Religion']"
1707,"['Theology', 'Religion', 'Christian']"
1709,"['Nonfiction', 'Food', 'Memoir']"
1710,"['Nonfiction', 'Food', 'Memoir']"
1713,"['Classics', 'Poetry', 'Mythology']"
1715,"['Classics', 'Poetry', 'Mythology']"
1718,"['Classics', 'Poetry', 'Mythology']"
1720,"['Classics', 'Poetry', 'Mythology']"
1722,"['Language', 'Nonfiction', 'Reference']"
1725,"['Poetry', 'Classics', 'Love']"
1728,"['Poetry', 'Classics', 'Literature']"
1729,"['Poetry', 'Classics', 'Philosophy']"
1730,"['Classics', 'Poetry', 'Mythology']"
1752,"['Classics', 'Plays', 'Drama']"
1761,"['Classics', 'Plays', 'Drama']"
1796,"['Classics', 'Poetry', 'Fiction']"
1800,"['History', 'Classics', 'Nonfiction']"
1801,"['Classics', 'Nonfiction', 'Criticism']"
1814,"['Nonfiction', 'Spirituality', 'Philosophy']"
1815,"['Nonfiction', 'Spirituality', 'Philosophy']"
1823,"['Nonfiction', 'Politics', 'Journalism']"
1824,"['Nonfiction', 'History', 'Politics']"
1839,"['History', 'Nonfiction', 'Science']"
1843,"['Nonfiction', 'Memoir', 'Sports']"
1845,"['Travel', 'Adventure', 'Classics']"
1846,"['Christian', 'Nonfiction', 'Christianity']"
1848,"['Nonfiction', 'History', 'China']"
1849,"['Fiction', 'Thriller', 'Mystery']"
1850,"['Romance', 'Mystery', 'Fiction']"
1852,"['Classics', 'Fiction', 'Adventure']"
1853,"['Picture Books', 'Animals', 'Childrens']"
1869,"['Nonfiction', 'Sociology', 'Politics']"
1877,"['Philosophy', 'Nonfiction', 'History']"
1879,"['Philosophy', 'Nonfiction', 'History']"
1883,"['Philosophy', 'Nonfiction', 'History']"
1887,"['Nonfiction', 'Classics', 'Romance']"
1888,"['Classics', 'Fiction', 'Romance']"
1889,"['Classics', 'Fiction', 'Romance']"
1891,"['Classics', 'Fiction', 'Romance']"
1893,"['Classics', 'Fiction', 'Romance']"
1894,"['Nonfiction', 'Religion', 'History']"
1896,"['Travel', 'Nonfiction', 'History']"
1898,"['Nonfiction', 'Adventure', 'Memoir']"
1902,"['Nonfiction', 'History', 'Adventure']"
1911,"['Nonfiction', 'History', 'Business']"
1914,"['Nonfiction', 'History', 'Business']"
1925,"['Guidebook', 'Nonfiction', 'Climbing']"
1931,"['Fiction', 'Young Adult', 'Childrens']"
1934,"['Classics', 'Fiction', 'Historical Fiction']"
1935,"['Classics', 'Fiction', 'Historical Fiction']"
1936,"['Classics', 'Fiction', 'Historical Fiction']"
1937,"['Classics', 'Fiction', 'Historical Fiction']"
1946,"['Classics', 'Fiction', 'Literature']"
1947,"['Classics', 'Fiction', 'Historical Fiction']"
1955,"['Classics', 'Fiction', 'Historical Fiction']"
1957,"['Classics', 'Fiction', 'Historical Fiction']"
1959,"['Classics', 'Fiction', 'Historical Fiction']"
1960,"['Classics', 'Fiction', 'Historical Fiction']"
1972,"['Business', 'Finance', 'Nonfiction']"
1976,"['Historical Fiction', 'Historical', 'Adventure']"
1982,"['Classics', 'Fiction', 'Literature']"
1984,"['Classics', 'Fiction', 'Literature']"
1985,"['Classics', 'Fiction', 'Literature']"
1987,"['History', 'Nonfiction', 'Reference']"
1988,"['Biography', 'Nonfiction', 'Classics']"
1990,"['Classics', 'Fiction', 'Victorian']"
1991,"['Science', 'Nonfiction', 'Anthropology']"
1993,"['Science', 'Nonfiction', 'History']"
1999,"['Biography', 'Nonfiction', 'biographies-and-autobiographies']"
2002,"['Fantasy', 'Fiction', 'Young Adult']"
2004,"['Nonfiction', 'nonfiction', 'university']"
2005,"['Fantasy', 'Young Adult', 'Fiction']"
2010,"['Science Fiction', 'Fiction', 'Fantasy']"
2011,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']"
2015,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']"
2022,"['Plays', 'Classics', 'Drama']"
2025,"['Plays', 'Classics', 'Drama']"
2028,"['Plays', 'Classics', 'Fiction']"
2045,"['Mystery', 'Fiction', 'Noir']"
2046,"['Fiction', 'Mystery', 'Short Stories']"
2048,"['Mystery', 'Crime', 'Fiction']"
2049,"['Mystery', 'Fiction', 'Crime']"
2051,"['Mystery', 'Fiction', 'Short Stories']"
2052,"['Mystery', 'Fiction', 'Classics']"
2054,"['Mystery', 'Fiction', 'Crime']"
2056,"['Fiction', 'Humor', 'Ireland']"
